收容所編號,名稱,縣市,郵遞區號,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考
SA106-0001,臺北市民族實驗國中,臺北市,106,大安區,學府里,羅斯福路四段113巷13號,學校,N,備用,N,N,Y,Y,Y,N,古風里、古莊里、龍泉里、學府里、大學里、龍淵里、龍坡里、黎和里,139,558,魏秀恬,02-27322935#231,洪錫璿,02-27322935#201,
SA106-0002,臺北市大安區大安國民小學,臺北市,106,大安區,芳和里,臥龍街129號,學校,Y,備用,N,N,Y,Y,Y,N,黎和里、黎孝里、黎元里、芳和里、臥龍里、虎嘯里、臥龍里、臥龍里、學府里、黎和里,152,608,劉正山,02-27322332#831,連世驊,02-27322332#899,
SA106-0003,臺北市立龍門國民中學,臺北市,106,大安區,龍門里,建國南路二段269號,學校,Y,Y,N,N,Y,Y,Y,N,龍門里、龍坡里、龍生里、新龍里、大學里、臥龍里、龍淵里、龍泉里,319,1277,江孟純,02-27330299#1411,洪國峰,02-27330299#1101,
SA106-0004,臺北市大安區幸安國民小學,臺北市,106,大安區,民炤里,仁愛路3段22號,學校,Y,Y,N,N,Y,Y,Y,N,民炤里、和安里、民輝里、龍圖里,183,733,許佳琪,02-27074191#3300,曾振富,02-27074191#3000,
SA106-0005,大安森林公園,臺北市,106,大安區,龍門里,台北市大安區新生南路二段1號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,37949,259354,陳煌耀,02-23032451,陳煌耀,02-23032451,
SA106-0006,臺北市大安運動中心,臺北市,106,大安區,臥龍里,辛亥路三段55號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,龍淵、臥龍里,389,2789,蕭幼麟,02-2377-0300#168,林欣儀,02-2570-2330#6424,
SA106-0007,臺北市立大安高級工業職業學校,臺北市,106,大安區,龍圖里,復興南路2段52號,學校,Y,備用,N,N,Y,Y,Y,N,龍圖、仁慈、住安里,100,2035.38,詹宓錫,02-27091630#1401,楊益强,02-27091630#1001,
SA106-0008,"
臺北市立大安國民中學",臺北市,106,大安區,龍雲里,臺北市大安區大安路二段63號,學校,N,備用,N,N,Y,Y,Y,N,住安里、義安里、通化里、群英里、群賢里、龍陣里、龍雲里、龍圖里、全安里、臨江里、法治里、龍生里,100,776,林佑忠,02-27557131#103  ,蔣佳良,02-27557131#168,
SA106-0009,臺北市大安區仁愛國民小學,臺北市,106,大安區,敦安里,安和路一段60號,學校,N,備用,N,N,Y,Y,Y,N,光武里、建安里、建倫里、敦煌里、敦安里、通化里、通安里、德安里、仁慈里、義安里、仁愛里、光信里、車層里、通安里,350,490,周本師,02-27095010#401,林其賢,02-27095010#101,
SA106-0010,臺北市立仁愛國民中學,臺北市,106,大安區,敦安里,仁愛路四段130號,學校,N,備用,N,N,Y,Y,Y,N,建安里、敦安里、德安里、敦煌里、建倫里、光信里、車層里、仁愛里、通安里、正聲里、華聲里、仁愛里、光武里,125,900,朱美銀,02-23255823#1168,周婉玲,02-23255823#1101,
SA106-0011,臺北市大安區公館國民小學,臺北市,106,大安區,學府里,基隆路四段41巷68弄2號,學校,N,備用,N,N,Y,Y,Y,N,學府里、學府里、龍淵里,50,108,章宏智,02-27351734#230,廖傑隆,02-27351734#200,
SA106-0012,臺北市大安區古亭國民小學,臺北市,106,大安區,古風里,羅斯福路三段201號,學校,N,備用,N,N,Y,Y,Y,N,古風里、古莊里、大學里、龍泉里,200,840,蔡逸珮,02-23639795#831,邢小萍,02-23639795#888,
SA106-0013,臺北市立和平高級中學,臺北市,106,大安區,芳和里,臥龍街100號,學校,Y,備用,N,N,Y,Y,Y,N,虎嘯里、臥龍里、芳和里、全安里、法治里、臨江里、龍淵里,300,2360,施振裕,27324300#150,温宥基,27324300#101,
SA106-0014,臺北市芳和實驗中學,臺北市,106,大安區,芳和里,臥龍街170號,學校,N,備用,N,N,Y,Y,Y,N,黎和里、黎孝里、黎元里、芳和里、學府里,50,150,黃清勇,02-27321961#501,黃琬茹,02-27321961#101,
SA106-0015,"
臺北市大安區金華國民小學",臺北市,106,大安區,永康里,愛國東路79巷11號,學校,N,備用,N,N,Y,Y,Y,N,光明里、永康里、錦泰里、錦華里、錦安里、龍安里、福住里,84,710,張寬讚,02-23917402#830,鄭盛元,02-23917402#800,
SA106-0016,臺北市立金華國民中學,臺北市,106,大安區,福住里,新生南路二段32號,學校,N,備用,N,N,Y,Y,Y,N,永康里、福住里、龍安里、錦安里、龍圖里、民炤里、龍坡里、龍泉里、古風里、古莊里、龍淵里、新龍里、龍生里,300,1433,許珮甄,02-33931799#501,黃啟清,02-33931799#101,
SA106-0017,臺北市大安區建安國民小學,臺北市,106,大安區,龍雲里,大安路二段99號,學校,N,備用,N,N,Y,Y,Y,N,群英里、群賢里、全安里、法治里、龍陣里、龍雲里、住安里、義安里、治里、新龍里、龍圖里、臥龍里,30,150,賈維嫆,02-27077119#821,蕭如君,02-27077119#820,
SA106-0018,臺北市大安區新生國民小學,臺北市,106,大安區,龍安里,新生南路二段36號,學校,Y,備用,N,N,Y,Y,Y,N,福住里、錦安里、龍安里,414,912.6,魏雅彤,02-23913122#231,李雪鳳,02-23913122#201,
"SA106-0019
",臺北市大安區銘傳國民小學,臺北市,106,大安區,學府里,羅斯褔路四段21號,學校,N,備用,N,N,Y,Y,Y,N,學府里,161,760,吳家蓁,02-23639815#16,卓家意,02-23639815#10,
SA106-0020,台北市大安區龍安國民小學,臺北市,106,大安區,龍門里,新生南路三段33號,學校,Y,備用,N,N,Y,Y,Y,N,龍坡里、大學里、龍生里、龍門里、龍泉里、古莊里、龍安里、新龍里、臥龍里,31,251,張芳旗,02-23632077#730,鄭福來,02-23632077#766,
SA106-0021,臺北市立懷生國民中學,臺北市,106,大安區,義村里,忠孝東路三段248巷30號,學校,Y,備用,N,N,Y,Y,Y,N,誠安里、民輝里、昌隆里、義村里、民炤里、正聲里、華聲里、仁愛里、光武里,167,870,徐蓓貞,02-27215078#330,陳政翊,02-27215078#888,
SA106-0022,大安站,臺北市,106,大安區,龍圖里,臺北市大安區信義路3段180號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,969,3876,臺北捷運公司值班站長,25505600#4082,臺北捷運公司值班站長,25505600#4082,
SA106-0023,臺北市市場處安東市場地下停車場,臺北市,106,大安區,龍陣里,臺北市大安區瑞安街75號,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,386,1545.81,市場處市場科孟科廷,02-2550-5220#2114,市場處市場科孟科廷,02-2550-5220#2114,
SA106-0024,忠孝復興站,臺北市,106,大安區,光武里,臺北市大安區忠孝東路4段47號,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1420,5682,臺北捷運公司值班站長,25505600#6102,臺北捷運公司值班站長,25505600#6102,
SA106-0025,忠孝新生站,臺北市,106,大安區,民輝里,臺北市大安區新生南路1段67號,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,2803,11212,臺北捷運公司值班站長,25505600#6092,臺北捷運公司值班站長,25505600#6092,
SA106-0026,東門站,臺北市,106,大安區,永康里,臺北市大安區信義路2段166號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1327,5307,臺北捷運公司值班站長,25505600#7142,臺北捷運公司值班站長,25505600#7142,
SA106-0027,東區地下街,臺北市,106,大安區,光武里,臺北市大安路一段77號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,2625,13850,臺北捷運公司領班,2550-5600#3204,臺北捷運公司領班,2550-5600#3204,
SA106-0028,臺北市市場處嘟嘟房大安全聯站停車場,臺北市,106,大安區,車層里,臺北市大安區市民大道4段190號地下一樓,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,237,948.3,市場處輔導科葉綺文,02-2550-5220#5020,市場處輔導科葉綺文,02-2550-5220#5020,延吉超市
SA106-0029,臺北市市場處榮帝科技全聯大安北師店停車場,臺北市,106,大安區,富民里,台北市大安區和平東路2段311巷29號地下1樓,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,76,306.54,市場處輔導科紀金村,02-2550-5220#5010,市場處輔導科紀金村,02-2550-5220#5010,成功超市
SA106-0030,臺北市立圖書館道藩分館,臺北市,106,大安區,臥龍里,臺北市大安區辛亥路三段11號3樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,32,1177.91,分館主任：許韻如,02-27334031,分館主任：許韻如,02-27334031,
SA106-0031,臺北市立圖書館總館,臺北市,106,大安區,新龍里,臺北市大安區建國南路二段125號,圖書館,N,N,N,N,Y,Y,Y,N,全區,70,280,秘書室主任：徐琬琳,02-27552823,秘書室主任：徐琬琳,02-27552823,
SA106-0032,臺北市市場處錦安市場地下停車場,臺北市,106,大安區,錦安里,臺北市大安區永康街60號,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,138,453.52,市場處市場科張泓皓,02-2550-5220#2139,市場處市場科張泓皓,02-2550-5220#2139,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
